designator,type,upper,lower,name,id,2019,2024
LMMM,FIR,195.0,0.0,Malta FIR,dacf7272,0.0068770196579437,0.0115455311791105
LMMM,UIR,,195.0,Malta UIR,084fd88a,0.0068770196579437,0.0115455311791105
LOVV,FIR,,0.0,Wien FIR,54092880,0.4467902280984717,0.5711143483808181
LPPC,FIR,,0.0,Lisboa FIR,77dadb14,0.3438645913475185,0.3633547954678013
LPPO,FIR,,0.0,Santa Maria FIR,c63e8278,1.5183763607458336,1.2790350295272697
LQSB,FIR,245.0,0.0,Sarajevo FIR,a3e0b549,0.1061868760317436,0.184575470718032
LQSB,UIR,,245.0,Sarajevo UIR,0cf5c48e,0.1061868760317436,0.184575470718032
LRBB,FIR,,0.0,Bucarest FIR,e087bd0e,1.082158162286745,1.2623733266539243
LSAS,FIR,195.0,0.0,Switzerland FIR,1871ccd3,0.1623903978305912,0.2214569149156802
LSAS,UIR,,195.0,Switzerland UIR,3b83f59d,0.1623903978305912,0.2214569149156802
LTAA,FIR,,0.0,Ankara FIR,755f0bac,0.6817459135124784,0.9471133982987372
LTBB,FIR,,0.0,Istanbul FIR,c1dfef1d,0.2105381313053732,0.2126887702141946
LUUU,FIR,,0.0,Chisinau FIR,2e25733a,0.0993181622711665,0.1198004599548305
LWSS,FIR,,0.0,Skopje FIR,dbc7aba6,0.0330775478586569,0.0453764974389247
LYBA,FIR,285.0,0.0,Beograd FIR,1fd76bf4,0.2415568768500612,0.3977892442639244
LYBA,UIR,,285.0,Beograd UIR,d080ae1b,0.2415568768500612,0.3977892442639244
LZBB,FIR,,0.0,Bratislava  FIR,561f350d,0.2662308161071515,0.3022531737330526
MDCS,FIR,195.0,0.0,Santo Domingo FIR,559661c8,0.0106791898722565,0.0194595506999031
MDCS,UIR,,195.0,Santo Domingo UIR,dffd15d3,0.0106791898722565,0.0194595506999031
MHCC,FIR,195.0,0.0,Central America FIR,cc6265af,0.1128172349880262,0.1103867912043572
MHCC,UIR,,195.0,Central America UIR,3b424bf9,0.1128172349880262,0.1103867912043572
MKJK,FIR,245.0,0.0,Kingston FIR,6bd8a254,0.0387499432905542,0.0839047553784215
MKJK,UIR,,245.0,Kingston UIR,05143685,0.0387499432905542,0.0839047553784215
MMFO,FIR,,0.0,Oceanica Mazatlan FIR,d1282860,0.0043172438257404,0.0021983143075886
MMFR,FIR,,0.0,Mexico FIR,299da7f2,0.2585741064703851,0.275135532831035
MPZL,FIR,,0.0,Panama FIR,47450c2d,0.0834243581316724,0.1703408385393907
MTEG,FIR,,0.0,Port-Au-Prince FIR,16f3fbf2,0.0040187021452317,0.00829923137192
MUFH,FIR,,0.0,Habana FIR/UIR,d7ba7b21,0.0505503895384714,0.0814723498629482
NFFF,FIR,,0.0,Nadi FIR,7f91d66b,0.1118434154963178,0.0794447878680916
NTTT,FIR,,0.0,Tahiti Oceanic FIR,523cc3d8,0.0221791768255199,0.026595193009854
NZZC,FIR,,0.0,New Zealand FIR,211847aa,0.0374752149251054,0.0282227383209982
NZZO,FIR,,0.0,Auckland Oceanic FIR,2b29eb46,0.1892150865051199,0.1448225585786341
OAKX,FIR,,0.0,Kabul FIR,974f2242,0.0484197114506221,0.0306874245236811
OBBB,FIR,150.0,0.0,Bahrain FIR,9423fd01,0.0059326428482107,0.0119791793552264
OBBB,UIR,,150.0,Bahrain UIR,7579550e,0.0059326428482107,0.0119791793552264
OEJD,FIR,,0.0,Jeddah FIR,229c6e28,0.1171719381549598,0.1814722118831518
OIIX,FIR,,0.0,Tehran FIR,9251ffb1,0.2121272578422429,0.2338375898031684
OJAC,FIR,,0.0,Amman FIR,5830f436,0.0024957603677599,0.0102466739536589
OKAC,FIR,,0.0,Kuwait FIR,d23ed3eb,0.001878990164401,0.0046977208762175
OLBB,FIR,195.0,0.0,Beirut FIR,0286844f,0.0013579499986315,0.0017177496409462
OLBB,UIR,,195.0,Beirut UIR,487917d8,0.0013579499986315,0.0017177496409462
OMAE,FIR,145.0,0.0,Emirates FIR,b62e389e,0.0113052712972658,0.0148229030488072
OMAE,UIR,,145.0,Emirates UIR,5fec98eb,0.0113052712972658,0.0148229030488072
OOMM,FIR,,0.0,Muscat FIR,d3da362f,0.0683659632515998,0.1209538609659176
OPKR,FIR,,0.0,Karachi FIR,265895bd,0.0421917214343219,0.0617264966449024
OPLR,FIR,,0.0,Lahore FIR,67b1ec6f,0.0357589987630724,0.0177065952264107
ORBB,FIR,,0.0,Baghdad FIR,8ead42e1,0.0314136687815489,0.0380559776171968
OSTT,FIR,,0.0,Damascus FIR,bab1838f,0.0087727650825628,0.0191562175953951
OYSC,FIR,,0.0,Sanaa FIR,849e8da7,0.0606093495437997,0.0442390147966855
